Agency,City,State,NTD_ID,Organization_Type,Reporter_Type,Report_Year,UACE_Code,UZA_Name,Primary_UZA_Population,Agency_VOMS,Mode,Mode_Name,TOS,Mode_VOMS,Vehicle_Operations,Vehicle_Maintenance,Facility_Maintenance,General_Administration,Reduced_Reporter_Expenses,Total,Purchased_Transportation_Reported_Separately
New York City Department of Transportation,New York,NY,20082,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,4,FB,Ferryboat,DO,4,100342395,28466729,13242013,11760529,0,153811666,0
"County of Niagara, dba: Connect Niagara",Lockport,NY,20957,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,4,MB,Bus,PT,4,0,0,0,0,577819,577819,0
"Town of Montgomery, dba: Montgomery and Crawford Dial-A-Ride Transportation",Montgomery,NY,20973,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,3,MB,Bus,DO,3,0,0,0,0,396209,396209,0
"Town of Newburgh, dba: TON Dial -A- Bus",Newburgh,NY,20143,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71803.0,"Poughkeepsie--Newburgh, NY",314766.0,3,DR,Demand Response,DO,3,0,0,0,0,74258,74258,0
"City of Port Jervis, dba: City of Port Jervis Dial-A-Bus",Port Jervis,NY,20988,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,2,DR,Demand Response,DO,2,0,0,0,0,222239,222239,0
"Town of Goshen, dba: Town of Goshen and Chester Dial-A-Bus",Goshen,NY,20954,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,2,MB,Bus,DO,2,0,0,0,0,217821,217821,0
Kaser Bus Service,Monsey,NY,20176,Private-For-Profit Corporation,Reduced Reporter,2023,63217.0,"New York--Jersey City--Newark, NY--NJ",19426449.0,2,CB,Commuter Bus,PT,2,0,0,0,0,248325,248325,0
"Steuben County, dba: Steuben County Transportation System",Bath,NY,20946,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,2,MB,Bus,PT,2,0,0,0,0,362427,362427,0
Seneca Nation of Indians,Salamanca,NY,22929,Tribe,Reduced Reporter,2023,36.0,New York Non-UZA,3425270.0,2,MB,Bus,PT,2,0,0,0,0,897692,897692,0
"City of Mechanicville, dba: Public Transportation System",Mechanicville,NY,20213,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,2,MB,Bus,DO,2,0,0,0,0,127073,127073,0
County of Rensselaer,East Greenbush,NY,20968,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,1,CB,Commuter Bus,PT,1,0,0,0,0,212119,212119,0
"Town of Highlands , dba: Town of Highlands Dial A Bus",Highland Falls,NY,20182,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,71803.0,"Poughkeepsie--Newburgh, NY",314766.0,1,DR,Demand Response,DO,1,0,0,0,0,78911,78911,0
"Fulton County, dba: Brown Coach Commuter",Johnstown,NY,20964,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,1,MB,Bus,PT,1,0,0,0,0,313557,313557,0
